req_len,body_len,cookie_len,ua_len,has_sql_kw,has_cmd_kw,has_traversal,Target
18.0,129.0,37.0,68.0,0,0,0,1
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
26.0,64.0,37.0,68.0,0,0,0,0
34.0,86.0,37.0,68.0,0,0,0,0
54.0,152.0,37.0,68.0,0,0,0,1
52.0,151.0,37.0,68.0,0,0,0,1
52.0,150.0,37.0,68.0,0,0,0,1
38.0,66.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,141.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,144.0,37.0,68.0,0,0,0,0
26.0,150.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
18.0,143.0,37.0,68.0,0,0,0,1
26.0,146.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,144.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,143.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,144.0,37.0,68.0,0,0,0,0
26.0,144.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,142.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,144.0,37.0,68.0,0,0,0,0
29.0,241.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,146.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,149.0,37.0,68.0,0,0,0,0
26.0,146.0,37.0,68.0,0,0,0,0
34.0,89.0,37.0,68.0,0,0,0,0
18.0,138.0,37.0,68.0,0,0,0,1
26.0,149.0,37.0,68.0,0,0,0,0
26.0,142.0,37.0,68.0,0,0,0,0
26.0,148.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,145.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
26.0,142.0,37.0,68.0,0,0,0,0
26.0,147.0,37.0,68.0,0,0,0,0
